count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
931324,9,"South East",142,Oxfordshire,U,Minor,,,453190,190660,51.61226741,-1.23323881,,
931323,9,"South East",142,Oxfordshire,U,Minor,,,449630,196430,51.66446725,-1.28383064,,
931322,9,"South East",142,Oxfordshire,C,Minor,,,449570,202060,51.71508887,-1.28390010,,
931321,9,"South East",142,Oxfordshire,C,Minor,,,425240,188720,51.59676597,-1.63701152,,
931320,9,"South East",142,Oxfordshire,C,Minor,,,430340,206680,51.75799246,-1.56183145,,
931319,9,"South East",142,Oxfordshire,C,Minor,,,444540,234970,52.01138168,-1.35246895,,
931318,9,"South East",142,Oxfordshire,C,Minor,,,425000,218300,51.86272837,-1.63836171,,
931317,9,"South East",142,Oxfordshire,C,Minor,,,444740,192550,51.62999309,-1.35502184,,
931316,9,"South East",142,Oxfordshire,C,Minor,,,459310,218580,51.86266049,-1.14011565,,
931315,9,"South East",142,Oxfordshire,C,Minor,,,425800,200100,51.69905882,-1.62809142,,
931314,9,"South East",142,Oxfordshire,C,Minor,,,445870,211470,51.80000317,-1.33621284,,
931313,9,"South East",142,Oxfordshire,C,Minor,,,438900,208860,51.77706461,-1.43757533,,
931312,9,"South East",142,Oxfordshire,C,Minor,,,455700,201990,51.71388558,-1.19519164,,
930021,9,"South East",142,Oxfordshire,B4020,Minor,,,427590,204320,51.73691569,-1.60185919,,
916464,9,"South East",142,Oxfordshire,B430,Minor,,,453400,223200,51.90479024,-1.22521723,,
820054,9,"South East",142,Oxfordshire,U,Minor,,,469738,177610,51.49314300,-0.99687470,,
820053,9,"South East",142,Oxfordshire,U,Minor,,,445616,240904,52.06464000,-1.33600330,,
820052,9,"South East",142,Oxfordshire,U,Minor,,,455517,203135,51.72419600,-1.19765800,,
812178,9,"South East",142,Oxfordshire,U,Minor,,,439061,212879,51.81318500,-1.43479060,,
812130,9,"South East",142,Oxfordshire,B481,Minor,,,470085,186955,51.57711200,-0.99002005,,
812039,9,"South East",142,Oxfordshire,B,Minor,,,437534,224683,51.91941300,-1.45566100,,
811997,9,"South East",142,Oxfordshire,U,Minor,,,447659,236067,52.02098400,-1.30687670,,
810910,9,"South East",142,Oxfordshire,U,Minor,,,460401,189637,51.60234300,-1.12928740,,
810891,9,"South East",142,Oxfordshire,U,Minor,,,442638,235600,52.01719300,-1.38010080,,
810797,9,"South East",142,Oxfordshire,U,Minor,,,423897,204311,51.73700200,-1.65533850,,
810688,9,"South East",142,Oxfordshire,U,Minor,,,443545,225840,51.92937800,-1.36812010,,
810626,9,"South East",142,Oxfordshire,U,Minor,,,455509,206006,51.75000800,-1.19731680,,
810591,9,"South East",142,Oxfordshire,B4035,Minor,,,437794,237867,52.03792400,-1.45043300,,
810487,9,"South East",142,Oxfordshire,U,Minor,,,459002,186393,51.57332600,-1.15002890,,
810469,9,"South East",142,Oxfordshire,U,Minor,,,441699,214091,51.82389100,-1.39638080,,
810426,9,"South East",142,Oxfordshire,U,Minor,,,439597,217278,51.85269600,-1.42651390,,
810242,9,"South East",142,Oxfordshire,U,Minor,,,470896,180193,51.51622000,-0.97967912,,
809904,9,"South East",142,Oxfordshire,U,Minor,,,453580,204853,51.73982900,-1.22543410,,
809783,9,"South East",142,Oxfordshire,C,Minor,,,445905,228544,51.95349900,-1.33344030,,
